Date,Event,Country,Unique Users
2021-03,All Events - Unique,Ethiopia,1353
2021-03,All Events - Unique,Nigeria,2013
2021-03,All Events - Unique,Somalia,560
2021-03,All Events - Unique,South Sudan,274
2021-03,All Events - Unique,Sudan,678
2021-03,All Events - Unique,Syria,13
2021-03,All Events - Unique,Ukraine,674
2021-03,All Events - Unique,Yemen,1009
2021-04,All Events - Unique,Afghanistan,476
2021-04,All Events - Unique,Central African Republic,91
2021-04,All Events - Unique,Ethiopia,1581
2021-04,All Events - Unique,Nigeria,2522
2021-04,All Events - Unique,Somalia,588
2021-04,All Events - Unique,South Sudan,281
2021-04,All Events - Unique,Sudan,516
2021-04,All Events - Unique,Syria,2
2021-04,All Events - Unique,Ukraine,2213
2021-04,All Events - Unique,Yemen,706
2021-05,All Events - Unique,Afghanistan,527
2021-05,All Events - Unique,Central African Republic,147
2021-05,All Events - Unique,Ethiopia,1349
2021-05,All Events - Unique,Nigeria,1724
2021-05,All Events - Unique,Somalia,424
2021-05,All Events - Unique,South Sudan,273
2021-05,All Events - Unique,Sudan,566
2021-05,All Events - Unique,Syria,17
2021-05,All Events - Unique,Ukraine,498
2021-05,All Events - Unique,Yemen,651
2021-06,All Events - Unique,Afghanistan,514
2021-06,All Events - Unique,Central African Republic,83
2021-06,All Events - Unique,Ethiopia,1440
2021-06,All Events - Unique,Nigeria,1981
2021-06,All Events - Unique,Somalia,604
2021-06,All Events - Unique,South Sudan,324
2021-06,All Events - Unique,Sudan,649
2021-06,All Events - Unique,Syria,17
2021-06,All Events - Unique,Ukraine,455
2021-06,All Events - Unique,Yemen,931
2021-07,All Events - Unique,Afghanistan,505
2021-07,All Events - Unique,Central African Republic,102
2021-07,All Events - Unique,Ethiopia,1348
2021-07,All Events - Unique,Nigeria,1812
2021-07,All Events - Unique,Somalia,595
2021-07,All Events - Unique,South Sudan,261
2021-07,All Events - Unique,Sudan,661
2021-07,All Events - Unique,Syria,5
2021-07,All Events - Unique,Ukraine,589
2021-07,All Events - Unique,Yemen,737
2021-08,All Events - Unique,Afghanistan,437
2021-08,All Events - Unique,Central African Republic,170
2021-08,All Events - Unique,Ethiopia,1542
2021-08,All Events - Unique,Nigeria,1962
2021-08,All Events - Unique,Somalia,591
2021-08,All Events - Unique,South Sudan,253
2021-08,All Events - Unique,Sudan,660
2021-08,All Events - Unique,Syria,15
2021-08,All Events - Unique,Ukraine,4277
2021-08,All Events - Unique,Yemen,973
2021-09,All Events - Unique,Afghanistan,574
2021-09,All Events - Unique,Central African Republic,168
2021-09,All Events - Unique,Ethiopia,1557
2021-09,All Events - Unique,Nigeria,1747
2021-09,All Events - Unique,Somalia,583
2021-09,All Events - Unique,South Sudan,362
2021-09,All Events - Unique,Sudan,723
2021-09,All Events - Unique,Syria,24
2021-09,All Events - Unique,Ukraine,413
2021-09,All Events - Unique,Yemen,943
2021-10,All Events - Unique,Afghanistan,690
2021-10,All Events - Unique,Central African Republic,183
2021-10,All Events - Unique,Ethiopia,1612
2021-10,All Events - Unique,Nigeria,1884
2021-10,All Events - Unique,Somalia,872
2021-10,All Events - Unique,South Sudan,612
2021-10,All Events - Unique,Sudan,705
2021-10,All Events - Unique,Syria,7
2021-10,All Events - Unique,Ukraine,474
2021-10,All Events - Unique,Yemen,1003
2021-11,All Events - Unique,Afghanistan,744
2021-11,All Events - Unique,Central African Republic,160
2021-11,All Events - Unique,Ethiopia,1360
2021-11,All Events - Unique,Nigeria,1757
2021-11,All Events - Unique,Somalia,856
2021-11,All Events - Unique,South Sudan,481
